symbol,status,relative_points,note
INDUSTOWER,skipped,56,analysis: unchanged; comparison: unchanged
INFY,skipped,21,analysis: unchanged; comparison: unchanged
INOXGREEN,skipped,25,analysis: unchanged; comparison: unchanged
INOXINDIA,skipped,71,analysis: unchanged; comparison: unchanged
INOXWIND,skipped,41,analysis: unchanged; comparison: unchanged
INTELLECT,skipped,32,analysis: unchanged; comparison: unchanged
IOB,skipped,64,analysis: unchanged; comparison: unchanged
IOC,skipped,69,analysis: unchanged; comparison: unchanged
IONEXCHANG,skipped,25,analysis: unchanged; comparison: unchanged
IPCALAB,skipped,73,analysis: unchanged; comparison: unchanged
IRB,skipped,42,analysis: unchanged; comparison: unchanged
IRCON,skipped,30,analysis: unchanged; comparison: unchanged
IRCTC,skipped,29,analysis: unchanged; comparison: unchanged
IREDA,skipped,60,analysis: unchanged; comparison: unchanged
IRFC,skipped,52,analysis: unchanged; comparison: unchanged
ITC,skipped,10,analysis: unchanged; comparison: unchanged
ITCHOTELS,skipped,50,analysis: unchanged; comparison: unchanged
ITI,skipped,75,analysis: unchanged; comparison: unchanged
IXIGO,skipped,79,analysis: unchanged; comparison: unchanged
JAIBALAJI,skipped,65,analysis: unchanged; comparison: unchanged
JAINREC,skipped,100,analysis: unchanged; comparison: unchanged
JAMNAAUTO,skipped,62,analysis: unchanged; comparison: unchanged
JAYNECOIND,skipped,0,analysis: unchanged; comparison: unchanged
JBCHEPHARM,skipped,73,analysis: unchanged; comparison: unchanged
JBMA,skipped,75,analysis: unchanged; comparison: unchanged
JINDALSAW,skipped,52,analysis: unchanged; comparison: unchanged
JINDALSTEL,skipped,50,analysis: unchanged; comparison: unchanged
JIOFIN,skipped,75,analysis: unchanged; comparison: unchanged
JKCEMENT,skipped,71,analysis: unchanged; comparison: unchanged
JKLAKSHMI,skipped,53,analysis: unchanged; comparison: unchanged
JKPAPER,skipped,25,analysis: unchanged; comparison: unchanged
JKTYRE,skipped,71,analysis: unchanged; comparison: unchanged
JLHL,skipped,80,analysis: unchanged; comparison: unchanged
JMFINANCIL,skipped,46,analysis: unchanged; comparison: unchanged
JPPOWER,skipped,41,analysis: unchanged; comparison: unchanged
JSFB,skipped,21,analysis: unchanged; comparison: unchanged
JSL,skipped,89,analysis: unchanged; comparison: unchanged
JSLL,skipped,100,analysis: unchanged; comparison: unchanged
JSWCEMENT,skipped,50,analysis: unchanged; comparison: unchanged
JSWDULUX,skipped,46,analysis: unchanged; comparison: unchanged
JSWENERGY,skipped,73,analysis: unchanged; comparison: unchanged
JSWINFRA,skipped,75,analysis: unchanged; comparison: unchanged
JSWSTEEL,skipped,82,analysis: unchanged; comparison: unchanged
JUBLFOOD,skipped,54,analysis: unchanged; comparison: unchanged
JUBLINGREA,skipped,58,analysis: unchanged; comparison: unchanged
JUBLPHARMA,skipped,30,analysis: unchanged; comparison: unchanged
JUSTDIAL,skipped,42,analysis: unchanged; comparison: unchanged
JWL,skipped,57,analysis: unchanged; comparison: unchanged
JYOTHYLAB,skipped,59,analysis: unchanged; comparison: unchanged
JYOTICNC,skipped,60,analysis: unchanged; comparison: unchanged
KAJARIACER,skipped,31,analysis: unchanged; comparison: unchanged
