nse_symbol,isin_source,name_source
QUESS,groww_master,groww_master
RADICO,groww_master,nifty500_master
RAILTEL,groww_master,nifty500_master
RAIN,groww_master,groww_master
RAINBOW,groww_master,nifty500_master
RALLIS,groww_master,groww_master
RAMCOCEM,groww_master,nifty500_master
RATEGAIN,groww_master,groww_master
RATNAMANI,groww_master,groww_master
RAYMONDLSL,groww_master,groww_master
RBA,groww_master,groww_master
RBLBANK,groww_master,nifty500_master
RCF,groww_master,groww_master
RECLTD,groww_master,nifty500_master
REDINGTON,groww_master,nifty500_master
REDTAPE,groww_master,groww_master
REFEX,groww_master,groww_master
RELAXO,groww_master,groww_master
RELIANCE,groww_master,nifty500_master
RELIGARE,groww_master,groww_master
RENUKA,groww_master,groww_master
RHIM,groww_master,nifty500_master
RITES,groww_master,nifty500_master
RKFORGE,groww_master,nifty500_master
ROUTE,groww_master,groww_master
RPOWER,groww_master,nifty500_master
RRKABEL,groww_master,nifty500_master
RTNINDIA,groww_master,groww_master
RTNPOWER,groww_master,groww_master
RUBICON,groww_master,groww_master
RVNL,groww_master,nifty500_master
SAATVIKGL,groww_master,groww_master
SAFARI,groww_master,groww_master
SAGILITY,groww_master,nifty500_master
SAIL,groww_master,nifty500_master
SAILIFE,groww_master,nifty500_master
SAMHI,groww_master,groww_master
SAMMAANCAP,groww_master,nifty500_master
SANDUMA,groww_master,groww_master
SANOFICONR,groww_master,groww_master
SANSERA,groww_master,groww_master
SAPPHIRE,groww_master,nifty500_master
SARDAEN,groww_master,nifty500_master
SAREGAMA,groww_master,nifty500_master
SBFC,groww_master,nifty500_master
SBICARD,groww_master,nifty500_master
SBILIFE,groww_master,nifty500_master
SBIN,groww_master,nifty500_master
SCHAEFFLER,groww_master,nifty500_master
SCHNEIDER,groww_master,nifty500_master
SCI,groww_master,nifty500_master
SENCO,groww_master,groww_master
SFL,groww_master,groww_master
SHAILY,groww_master,groww_master
SHAKTIPUMP,groww_master,groww_master
SHARDACROP,groww_master,groww_master
SHAREINDIA,groww_master,groww_master
SHILPAMED,groww_master,groww_master
