symbol,week_start,open,high,low,close,volume,days,complete
INDUSTOWER,2026-04-13,430.0,440.5,409.0,412.25,33260259,4,True
INDUSTOWER,2026-04-20,412.5,419.6,395.65,402.2,35591258,5,True
INDUSTOWER,2026-04-27,403.45,421.85,399.5,409.95,27915057,5,True
INDUSTOWER,2026-05-04,414.55,415.0,390.8,404.3,45091265,5,True
INDUSTOWER,2026-05-11,402.8,434.2,396.5,430.15,37697487,5,True
INDUSTOWER,2026-05-18,425.0,439.4,421.9,432.05,33094747,5,True
INDUSTOWER,2026-05-25,435.0,449.4,430.05,442.05,33949825,5,True
INDUSTOWER,2026-06-01,443.7,446.4,424.45,429.65,34738600,5,True
INDUSTOWER,2026-06-08,427.0,432.05,408.55,421.2,30260077,5,True
INDUSTOWER,2026-06-15,426.1,426.5,409.0,411.2,33740666,5,True
INDUSTOWER,2026-06-22,415.0,415.95,391.95,393.55,21728271,5,True
INDUSTOWER,2026-06-29,394.9,399.0,380.3,383.3,29831837,5,True
INDUSTOWER,2026-07-06,383.2,407.85,375.05,406.15,64206193,5,True
INDUSTOWER,2026-07-13,402.25,414.9,401.6,403.5,24164415,5,True
INDUSTOWER,2026-07-20,401.55,407.75,385.15,394.6,13617650,5,True
INDUSTOWER,2026-07-27,396.0,397.25,371.4,391.1,26107077,5,True
INDUSTOWER,2026-08-03,394.0,398.3,383.1,386.0,18869739,5,True
INDUSTOWER,2026-08-10,374.0,388.55,363.5,384.35,41045678,5,True
INDUSTOWER,2026-08-17,383.8,385.0,367.35,375.75,16685317,5,True
INDUSTOWER,2026-08-24,377.45,389.4,372.9,380.0,24964421,5,True
INDUSTOWER,2026-08-31,380.0,388.8,371.95,376.8,19641880,5,True
INDUSTOWER,2026-09-07,379.25,390.85,368.7,388.0,29764766,5,True
INFY,2026-03-09,1288.0,1299.5,1242.6,1248.3,22834929,3,True
INFY,2026-03-16,1240.2,1290.8,1215.1,1255.9,72359543,5,True
INFY,2026-03-23,1238.2,1297.0,1227.4,1269.7,49950359,4,True
INFY,2026-03-30,1250.0,1305.4,1243.0,1300.8,35119134,3,True
INFY,2026-04-06,1301.4,1376.9,1283.3,1292.5,75722583,5,True
INFY,2026-04-13,1272.0,1331.0,1265.7,1318.7,53056071,4,True
INFY,2026-04-20,1320.0,1325.0,1152.2,1154.6,94189886,5,True
INFY,2026-04-27,1154.6,1189.8,1149.8,1181.8,52808937,5,True
INFY,2026-05-04,1195.0,1195.0,1158.8,1179.2,45353639,5,True
INFY,2026-05-11,1176.0,1187.0,1089.0,1119.0,65289639,5,True
INFY,2026-05-18,1119.0,1206.9,1118.0,1174.5,78217191,5,True
INFY,2026-05-25,1183.0,1210.0,1153.6,1160.9,89319204,5,True
INFY,2026-06-01,1175.0,1278.9,1173.7,1197.5,95454481,5,True
INFY,2026-06-08,1177.5,1200.7,1109.0,1116.4,45950900,5,True
INFY,2026-06-15,1130.0,1162.5,1030.0,1051.4,86754290,5,True
INFY,2026-06-22,1055.0,1080.3,1026.0,1041.2,57714614,5,True
INFY,2026-06-29,1037.1,1068.7,982.4,1047.2,82641782,5,True
INFY,2026-07-06,1050.1,1091.3,1033.0,1068.0,56198863,5,True
INFY,2026-07-13,1057.1,1116.8,1057.1,1096.5,65455980,5,True
INFY,2026-07-20,1102.0,1103.8,1013.9,1040.9,66206555,5,True
INFY,2026-07-27,1065.0,1187.7,1057.4,1130.1,115454906,5,True
INFY,2026-08-03,1145.1,1185.8,1138.1,1175.1,43892488,5,True
INFY,2026-08-10,1178.1,1195.0,1157.0,1169.2,39145847,5,True
INFY,2026-08-17,1163.9,1166.5,1112.5,1121.0,37731644,5,True
INFY,2026-08-24,1126.5,1145.0,1107.2,1144.0,39566542,5,True
INFY,2026-08-31,1138.6,1156.0,1111.1,1130.0,42556239,5,True
INFY,2026-09-07,1109.5,1109.9,1026.5,1037.7,42634457,5,True
INOXGREEN,2026-03-09,147.0,155.5,142.5,143.97,3592937,3,True
INOXGREEN,2026-03-16,143.5,164.73,137.36,150.4,73785018,5,True
INOXGREEN,2026-03-23,150.0,150.0,132.58,139.25,20148912,4,True
INOXGREEN,2026-03-30,138.0,146.9,134.47,144.58,6306545,3,True
INOXGREEN,2026-04-06,143.88,158.59,140.45,156.1,7548861,5,True
INOXGREEN,2026-04-13,152.6,168.0,150.14,163.03,12895474,4,True
INOXGREEN,2026-04-20,164.0,182.8,160.0,176.51,16791158,5,True
INOXGREEN,2026-04-27,178.27,186.15,177.0,180.73,8349362,5,True
INOXGREEN,2026-05-04,182.2,196.1,178.81,190.61,14541141,5,True
INOXGREEN,2026-05-11,189.39,194.94,174.0,177.64,8130025,5,True
INOXGREEN,2026-05-18,176.09,188.78,170.1,180.35,5023720,5,True
INOXGREEN,2026-05-25,180.35,186.8,170.89,172.41,6814088,5,True
INOXGREEN,2026-06-01,172.41,176.88,163.8,173.5,9477285,5,True
INOXGREEN,2026-06-08,170.0,192.45,169.3,189.9,9621630,5,True
INOXGREEN,2026-06-15,192.7,203.9,187.96,199.47,7900067,5,True
INOXGREEN,2026-06-22,201.0,207.4,194.5,204.15,6955686,5,True
INOXGREEN,2026-06-29,200.0,203.7,195.5,199.94,5262377,5,True
INOXGREEN,2026-07-06,199.91,209.9,190.2,191.66,7524609,5,True
INOXGREEN,2026-07-13,190.0,196.43,183.46,186.0,5170562,5,True
INOXGREEN,2026-07-20,184.89,198.0,183.45,191.87,5546601,5,True
INOXGREEN,2026-07-27,193.0,202.58,165.3,169.89,12761779,5,True
INOXGREEN,2026-08-03,170.0,180.5,165.0,179.43,2770597,5,True
INOXGREEN,2026-08-10,176.0,189.0,174.55,187.07,3871762,5,True
INOXGREEN,2026-08-17,185.26,186.17,173.0,178.34,4876174,5,True
INOXGREEN,2026-08-24,177.46,178.32,168.0,174.26,7006148,5,True
INOXGREEN,2026-08-31,174.0,176.7,158.73,175.1,5289430,5,True
INOXGREEN,2026-09-07,172.28,179.5,169.61,178.21,6591408,4,True
INOXINDIA,2026-03-09,1193.0,1208.5,1126.5,1136.5,167756,3,True
INOXINDIA,2026-03-16,1138.5,1230.0,1117.0,1180.7,612064,5,True
INOXINDIA,2026-03-23,1164.0,1262.0,1151.1,1198.6,827944,4,True
INOXINDIA,2026-03-30,1185.0,1252.0,1148.9,1242.3,448139,3,True
INOXINDIA,2026-04-06,1253.9,1325.0,1202.7,1305.1,1397480,5,True
